user_id,signup_date,plan,channel,company_size,cohort_month,retention_prob
USR00001,2023-04-13,Pro,Organic Search,11-50,2023-04,0.68
USR00002,2023-01-21,Free,Organic Search,Solo,2023-01,0.33
USR00003,2023-03-29,Free,Organic Search,11-50,2023-03,0.41000000000000003
USR00004,2023-11-05,Enterprise,Direct,Solo,2023-11,0.8500000000000001
USR00005,2023-07-11,Enterprise,Product Hunt,2-10,2023-07,0.9
USR00006,2023-09-10,Free,Organic Search,2-10,2023-09,0.33
USR00007,2024-04-20,Enterprise,Organic Search,Solo,2024-04,0.8500000000000001
USR00008,2023-09-01,Free,Organic Search,2-10,2023-09,0.33
USR00009,2023-01-21,Free,Organic Search,51-200,2023-01,0.41000000000000003
USR00010,2023-01-14,Pro,Organic Search,Solo,2023-01,0.6000000000000001
USR00011,2023-12-06,Free,Referral,2-10,2023-12,0.43000000000000005
USR00012,2023-02-04,Pro,Organic Search,11-50,2023-02,0.68
USR00013,2023-01-02,Free,Organic Search,2-10,2023-01,0.33
USR00014,2024-04-21,Enterprise,Referral,51-200,2024-04,0.9
USR00015,2023-09-27,Pro,Organic Search,2-10,2023-09,0.6000000000000001
USR00016,2023-09-09,Free,Organic Search,2-10,2023-09,0.33
USR00017,2023-12-04,Free,Product Hunt,200+,2023-12,0.46
USR00018,2023-07-07,Free,Organic Search,11-50,2023-07,0.41000000000000003
USR00019,2023-03-06,Free,Paid Search,2-10,2023-03,0.23000000000000004
USR00020,2024-04-16,Free,Organic Search,11-50,2024-04,0.41000000000000003
USR00021,2024-02-23,Pro,Organic Search,2-10,2024-02,0.6000000000000001
USR00022,2023-02-10,Pro,Direct,2-10,2023-02,0.6000000000000001
USR00023,2023-02-02,Free,Organic Search,2-10,2023-02,0.33
USR00024,2023-04-09,Free,Organic Search,2-10,2023-04,0.33
USR00025,2024-04-06,Pro,Referral,Solo,2024-04,0.7000000000000001
USR00026,2024-02-02,Free,Paid Search,2-10,2024-02,0.23000000000000004
USR00027,2024-04-05,Free,Direct,2-10,2024-04,0.33
USR00028,2023-04-06,Pro,Organic Search,2-10,2023-04,0.6000000000000001
USR00029,2023-06-20,Free,Social Media,2-10,2023-06,0.25
USR00030,2023-08-31,Free,Social Media,11-50,2023-08,0.33
USR00031,2023-01-28,Free,Paid Search,51-200,2023-01,0.31000000000000005
USR00032,2024-05-20,Free,Paid Search,51-200,2024-05,0.31000000000000005
USR00033,2024-01-20,Free,Paid Search,11-50,2024-01,0.31000000000000005
USR00034,2023-09-16,Free,Paid Search,2-10,2023-09,0.23000000000000004
USR00035,2023-08-13,Free,Organic Search,51-200,2023-08,0.41000000000000003
USR00036,2024-01-09,Free,Paid Search,2-10,2024-01,0.23000000000000004
USR00037,2024-05-11,Free,Organic Search,11-50,2024-05,0.41000000000000003
USR00038,2024-01-22,Free,Organic Search,Solo,2024-01,0.33
USR00039,2023-04-23,Enterprise,Paid Search,Solo,2023-04,0.75
USR00040,2023-08-13,Free,Referral,2-10,2023-08,0.43000000000000005
USR00041,2024-02-20,Free,Organic Search,2-10,2024-02,0.33
USR00042,2024-02-05,Pro,Paid Search,2-10,2024-02,0.5
USR00043,2023-07-17,Free,Direct,11-50,2023-07,0.41000000000000003
USR00044,2023-07-20,Free,Organic Search,Solo,2023-07,0.33
USR00045,2024-02-07,Pro,Direct,2-10,2024-02,0.6000000000000001
USR00046,2024-05-03,Pro,Paid Search,51-200,2024-05,0.58
USR00047,2024-04-17,Free,Paid Search,11-50,2024-04,0.31000000000000005
USR00048,2023-09-20,Pro,Direct,2-10,2023-09,0.6000000000000001
USR00049,2023-01-02,Enterprise,Social Media,2-10,2023-01,0.77
USR00050,2023-06-09,Free,Organic Search,2-10,2023-06,0.33
USR00051,2023-07-27,Pro,Direct,11-50,2023-07,0.68
USR00052,2024-02-24,Pro,Product Hunt,Solo,2024-02,0.65
USR00053,2024-05-24,Enterprise,Social Media,Solo,2024-05,0.77
USR00054,2023-12-04,Free,Paid Search,200+,2023-12,0.31000000000000005
USR00055,2023-06-10,Free,Paid Search,Solo,2023-06,0.23000000000000004
USR00056,2024-05-18,Free,Direct,11-50,2024-05,0.41000000000000003
USR00057,2023-02-02,Free,Paid Search,2-10,2023-02,0.23000000000000004
USR00058,2023-01-22,Free,Social Media,2-10,2023-01,0.25
USR00059,2024-03-13,Pro,Paid Search,2-10,2024-03,0.5
USR00060,2023-10-11,Pro,Direct,Solo,2023-10,0.6000000000000001
USR00061,2024-05-30,Free,Product Hunt,Solo,2024-05,0.38
USR00062,2023-08-08,Free,Organic Search,51-200,2023-08,0.41000000000000003
USR00063,2023-02-06,Pro,Paid Search,200+,2023-02,0.58
USR00064,2023-04-09,Enterprise,Organic Search,2-10,2023-04,0.8500000000000001
USR00065,2023-06-10,Free,Organic Search,2-10,2023-06,0.33
USR00066,2023-11-19,Free,Organic Search,2-10,2023-11,0.33
USR00067,2023-06-04,Free,Organic Search,11-50,2023-06,0.41000000000000003
USR00068,2024-01-28,Pro,Paid Search,Solo,2024-01,0.5
USR00069,2024-06-21,Pro,Direct,51-200,2024-06,0.68
USR00070,2024-05-20,Free,Product Hunt,Solo,2024-05,0.38
USR00071,2024-05-26,Free,Organic Search,51-200,2024-05,0.41000000000000003
USR00072,2023-05-23,Free,Organic Search,2-10,2023-05,0.33
USR00073,2023-02-20,Free,Paid Search,Solo,2023-02,0.23000000000000004
USR00074,2023-11-10,Pro,Organic Search,Solo,2023-11,0.6000000000000001
USR00075,2023-02-23,Free,Organic Search,11-50,2023-02,0.41000000000000003
USR00076,2023-01-05,Free,Direct,Solo,2023-01,0.33
USR00077,2023-12-16,Free,Product Hunt,11-50,2023-12,0.46
USR00078,2023-09-26,Enterprise,Referral,Solo,2023-09,0.9
USR00079,2023-04-30,Free,Paid Search,Solo,2023-04,0.23000000000000004
USR00080,2024-04-18,Enterprise,Direct,11-50,2024-04,0.9
USR00081,2023-02-27,Pro,Paid Search,Solo,2023-02,0.5
USR00082,2023-04-28,Pro,Referral,Solo,2023-04,0.7000000000000001
USR00083,2023-09-29,Free,Referral,2-10,2023-09,0.43000000000000005
USR00084,2023-09-04,Free,Paid Search,Solo,2023-09,0.23000000000000004
USR00085,2023-03-27,Free,Organic Search,Solo,2023-03,0.33
USR00086,2023-04-04,Pro,Referral,2-10,2023-04,0.7000000000000001
USR00087,2023-08-06,Pro,Direct,2-10,2023-08,0.6000000000000001
USR00088,2023-09-11,Free,Paid Search,2-10,2023-09,0.23000000000000004
USR00089,2023-04-10,Free,Paid Search,2-10,2023-04,0.23000000000000004
USR00090,2024-03-17,Free,Paid Search,11-50,2024-03,0.31000000000000005
USR00091,2023-01-16,Free,Product Hunt,Solo,2023-01,0.38
USR00092,2023-06-09,Enterprise,Product Hunt,2-10,2023-06,0.9
USR00093,2024-01-15,Free,Direct,11-50,2024-01,0.41000000000000003
USR00094,2023-09-25,Free,Social Media,51-200,2023-09,0.33
USR00095,2023-10-12,Free,Organic Search,Solo,2023-10,0.33
USR00096,2024-05-13,Free,Organic Search,11-50,2024-05,0.41000000000000003
USR00097,2024-02-22,Free,Paid Search,11-50,2024-02,0.31000000000000005
USR00098,2024-05-07,Enterprise,Organic Search,2-10,2024-05,0.8500000000000001
USR00099,2024-01-29,Free,Paid Search,2-10,2024-01,0.23000000000000004
USR00100,2023-04-09,Free,Paid Search,11-50,2023-04,0.31000000000000005
USR00101,2023-07-09,Free,Organic Search,11-50,2023-07,0.41000000000000003
USR00102,2023-10-06,Pro,Organic Search,51-200,2023-10,0.68
USR00103,2023-03-03,Free,Paid Search,Solo,2023-03,0.23000000000000004
USR00104,2023-01-19,Free,Organic Search,51-200,2023-01,0.41000000000000003
USR00105,2023-03-17,Free,Social Media,11-50,2023-03,0.33
USR00106,2024-05-20,Free,Paid Search,Solo,2024-05,0.23000000000000004
USR00107,2023-01-25,Free,Organic Search,51-200,2023-01,0.41000000000000003
USR00108,2023-05-24,Pro,Organic Search,2-10,2023-05,0.6000000000000001
USR00109,2024-02-02,Free,Paid Search,51-200,2024-02,0.31000000000000005
USR00110,2023-08-23,Pro,Social Media,11-50,2023-08,0.6
USR00111,2024-05-06,Pro,Direct,2-10,2024-05,0.6000000000000001
USR00112,2023-06-17,Free,Direct,11-50,2023-06,0.41000000000000003
USR00113,2024-05-31,Free,Organic Search,2-10,2024-05,0.33
USR00114,2023-12-31,Free,Direct,51-200,2023-12,0.41000000000000003
USR00115,2023-08-05,Free,Paid Search,11-50,2023-08,0.31000000000000005
USR00116,2024-03-20,Free,Referral,Solo,2024-03,0.43000000000000005
USR00117,2024-06-14,Free,Paid Search,Solo,2024-06,0.23000000000000004
USR00118,2023-08-08,Free,Referral,11-50,2023-08,0.51
USR00119,2023-12-27,Pro,Referral,Solo,2023-12,0.7000000000000001
USR00120,2024-05-19,Free,Organic Search,51-200,2024-05,0.41000000000000003
USR00121,2023-04-27,Enterprise,Organic Search,200+,2023-04,0.9
USR00122,2023-05-29,Free,Social Media,51-200,2023-05,0.33
USR00123,2023-08-15,Pro,Organic Search,Solo,2023-08,0.6000000000000001
USR00124,2023-11-01,Pro,Paid Search,2-10,2023-11,0.5
USR00125,2023-09-16,Pro,Organic Search,Solo,2023-09,0.6000000000000001
USR00126,2023-12-24,Free,Product Hunt,Solo,2023-12,0.38
USR00127,2023-12-14,Free,Paid Search,Solo,2023-12,0.23000000000000004
USR00128,2024-06-23,Free,Social Media,200+,2024-06,0.33
USR00129,2024-05-16,Free,Organic Search,2-10,2024-05,0.33
USR00130,2024-04-05,Pro,Organic Search,51-200,2024-04,0.68
USR00131,2023-09-10,Enterprise,Paid Search,2-10,2023-09,0.75
USR00132,2024-03-25,Free,Direct,2-10,2024-03,0.33
USR00133,2023-01-05,Free,Paid Search,11-50,2023-01,0.31000000000000005
USR00134,2023-08-12,Enterprise,Paid Search,11-50,2023-08,0.83
USR00135,2023-08-05,Enterprise,Direct,11-50,2023-08,0.9
USR00136,2023-04-15,Free,Organic Search,Solo,2023-04,0.33
USR00137,2024-06-01,Pro,Paid Search,11-50,2024-06,0.58
USR00138,2024-03-12,Free,Referral,11-50,2024-03,0.51
USR00139,2023-03-24,Free,Paid Search,Solo,2023-03,0.23000000000000004
USR00140,2023-02-20,Free,Organic Search,51-200,2023-02,0.41000000000000003
USR00141,2024-05-02,Free,Paid Search,Solo,2024-05,0.23000000000000004
USR00142,2023-06-03,Free,Paid Search,11-50,2023-06,0.31000000000000005
USR00143,2023-11-02,Pro,Paid Search,2-10,2023-11,0.5
USR00144,2024-02-05,Free,Organic Search,11-50,2024-02,0.41000000000000003
USR00145,2023-03-16,Free,Organic Search,Solo,2023-03,0.33
USR00146,2023-11-02,Free,Paid Search,2-10,2023-11,0.23000000000000004
USR00147,2024-03-22,Pro,Paid Search,2-10,2024-03,0.5
USR00148,2023-12-01,Free,Product Hunt,51-200,2023-12,0.46
USR00149,2023-05-13,Pro,Paid Search,11-50,2023-05,0.58
USR00150,2024-05-22,Free,Organic Search,2-10,2024-05,0.33
USR00151,2024-03-25,Free,Product Hunt,Solo,2024-03,0.38
USR00152,2023-04-21,Free,Organic Search,Solo,2023-04,0.33
USR00153,2024-01-09,Pro,Organic Search,11-50,2024-01,0.68
USR00154,2023-10-08,Pro,Paid Search,11-50,2023-10,0.58
USR00155,2023-03-02,Free,Organic Search,Solo,2023-03,0.33
USR00156,2024-06-17,Free,Organic Search,2-10,2024-06,0.33
USR00157,2023-12-12,Pro,Organic Search,2-10,2023-12,0.6000000000000001
USR00158,2023-03-14,Free,Paid Search,11-50,2023-03,0.31000000000000005
USR00159,2023-02-25,Pro,Social Media,Solo,2023-02,0.52
USR00160,2023-01-26,Pro,Organic Search,2-10,2023-01,0.6000000000000001
USR00161,2023-10-30,Free,Paid Search,2-10,2023-10,0.23000000000000004
USR00162,2023-03-19,Free,Referral,Solo,2023-03,0.43000000000000005
USR00163,2023-11-08,Free,Referral,11-50,2023-11,0.51
USR00164,2023-12-29,Free,Organic Search,2-10,2023-12,0.33
USR00165,2023-01-15,Free,Referral,Solo,2023-01,0.43000000000000005
USR00166,2023-02-08,Free,Organic Search,2-10,2023-02,0.33
USR00167,2024-06-20,Pro,Product Hunt,11-50,2024-06,0.73
USR00168,2023-03-08,Free,Paid Search,2-10,2023-03,0.23000000000000004
USR00169,2024-04-14,Free,Referral,2-10,2024-04,0.43000000000000005
USR00170,2024-02-29,Free,Direct,2-10,2024-02,0.33
USR00171,2024-03-18,Free,Social Media,2-10,2024-03,0.25
USR00172,2023-10-16,Free,Organic Search,2-10,2023-10,0.33
USR00173,2024-05-30,Pro,Organic Search,11-50,2024-05,0.68
USR00174,2023-05-17,Free,Paid Search,2-10,2023-05,0.23000000000000004
USR00175,2023-08-11,Pro,Product Hunt,51-200,2023-08,0.73
USR00176,2023-04-28,Free,Organic Search,11-50,2023-04,0.41000000000000003
USR00177,2024-03-16,Pro,Paid Search,2-10,2024-03,0.5
USR00178,2023-06-22,Pro,Organic Search,2-10,2023-06,0.6000000000000001
USR00179,2023-08-13,Pro,Paid Search,11-50,2023-08,0.58
USR00180,2023-11-16,Free,Paid Search,51-200,2023-11,0.31000000000000005
USR00181,2023-09-16,Free,Organic Search,Solo,2023-09,0.33
USR00182,2023-06-21,Free,Referral,Solo,2023-06,0.43000000000000005
USR00183,2023-11-15,Pro,Referral,2-10,2023-11,0.7000000000000001
USR00184,2024-02-23,Free,Social Media,11-50,2024-02,0.33
USR00185,2023-08-24,Free,Social Media,200+,2023-08,0.33
USR00186,2024-05-27,Pro,Product Hunt,11-50,2024-05,0.73
USR00187,2023-08-17,Free,Organic Search,Solo,2023-08,0.33
USR00188,2023-01-05,Free,Product Hunt,51-200,2023-01,0.46
USR00189,2023-02-11,Free,Direct,2-10,2023-02,0.33
USR00190,2024-06-09,Pro,Product Hunt,2-10,2024-06,0.65
USR00191,2023-05-23,Free,Paid Search,2-10,2023-05,0.23000000000000004
USR00192,2023-04-14,Free,Organic Search,51-200,2023-04,0.41000000000000003
USR00193,2024-01-26,Pro,Referral,Solo,2024-01,0.7000000000000001
USR00194,2023-10-16,Free,Direct,11-50,2023-10,0.41000000000000003
